"Protein.IDs"	"Protein.names"	"Gene.names"	"Reverse"	"Only.identified.by.site"	"Potential.contaminant"	"LFQ.intensity.NCY71"	"LFQ.intensity.NCY59"	"LFQ.intensity.NCY79"	"LFQ.intensity.NCY205"	"LFQ.intensity.NCY70"	"LFQ.intensity.CLM01"	"LFQ.intensity.NCY208"	"LFQ.intensity.NCY219"	"LFQ.intensity.NCY220"	"LFQ.intensity.NCY26"	"LFQ.intensity.NCY226"	"LFQ.intensity.NCY64"	"LFQ.intensity.TRS04"	"LFQ.intensity.NCY200"	"LFQ.intensity.NCY217"	"LFQ.intensity.NCY222"	"LFQ.intensity.NCY201"	"LFQ.intensity.NCY206"	"LFQ.intensity.POI02"	"LFQ.intensity.CLM07"
"prot_19"	"Sit luctus hac himenaeos leo nostra sociis arcu natoque maecenas ac."	"prot_19"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_20"	"Ipsum aenean nec tempus suspendisse purus sem nibh fusce rhoncus!"	"prot_20"	""	""	""	90831000	78264000	56680000	74338000	90978000	109150000	75783000	66532000	69425000	73838000	71478000	86100000	96272000	86790000	88464000	76977000	82202000	75462000	107420000	124820000
"prot_21"	"Dolor et aptent ligula senectus rhoncus ridiculus iaculis aptent natoque cum pulvinar."	"prot_21"	""	""	""	0	17695000	0	0	0	0	0	0	0	0	0	0	4067400	0	0	0	0	0	0	0
"prot_22"	"Adipiscing condimentum sed molestie imperdiet nunc mollis pretium eget?"	"prot_22"	""	""	""	18761000	9015400	11838000	6630300	15394000	16790000	9177800	16239000	14590000	8745000	17832000	11823000	15938000	22462000	18359000	10981000	13843000	12766000	8465500	11879000
"prot_23"	"Elit vel ullamcorper ut dapibus platea tellus enim tempor eros ante?"	"prot_23"	""	""	""	0	0	0	0	0	4247000	0	0	0	0	0	0	0	0	0	0	0	3864500	0	0
"prot_24"	"Elit montes fusce vestibulum feugiat convallis senectus natoque sed phasellus himenaeos cubilia ante sodales."	"prot_24"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_25"	"Amet risus ultricies semper fames natoque donec curabitur."	"prot_25"	""	""	""	3893200	0	6726700	17976000	11297000	14652000	10553000	14336000	6617200	8100100	8407800	14440000	10874000	13851000	0	10398000	11374000	10502000	18254000	11340000
"prot_26"	"Amet cursus torquent eros felis tellus dapibus sodales mollis augue ultricies penatibus aenean feugiat."	"prot_26"	""	""	""	0	0	0	15590000	0	0	0	11608000	0	0	0	0	0	8460500	0	14735000	0	0	0	15560000
"prot_27"	"Lorem praesent varius taciti laoreet massa montes eu blandit iaculis arcu malesuada enim nec velit."	"prot_27"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_28"	"Amet primis curae donec ultrices massa lectus donec torquent interdum vivamus nunc dis."	"prot_28"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_29"	"Ipsum proin arcu velit velit eget nulla quisque turpis nibh litora metus semper ac."	"prot_29"	""	""	""	21634000	27981000	28973000	5640000	15557000	30425000	17051000	28497000	15836000	25386000	20392000	21539000	32231000	28794000	33296000	26029000	26861000	20668000	36244000	27309000
"prot_30"	"Sit diam vehicula integer viverra pellentesque eu rutrum cursus imperdiet proin."	"prot_30"	""	""	""	0	0	7422700	17996000	10765000	13148000	29286000	0	0	0	0	19731000	19538000	0	31052000	0	14347000	0	14260000	15734000
"prot_31"	"Sit scelerisque parturient ligula leo viverra montes phasellus sociis nulla nibh curabitur."	"prot_31"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10707000	0	0
"prot_32"	"Lorem at facilisis tortor class odio at mus neque suscipit."	"prot_32"	""	""	""	0	0	0	0	0	6410400	0	7228800	0	9855400	0	0	0	0	0	16230000	0	0	10324000	0
"prot_33"	"Amet mus hac ultricies mi suscipit mauris sem porttitor donec diam ultrices."	"prot_33"	""	""	""	74435000	67518000	74618000	26914000	53027000	35856000	47518000	52119000	46386000	30632000	46427000	37879000	21997000	25944000	35994000	13160000	60732000	15942000	52942000	67688000
"prot_34"	"Adipiscing cras conubia congue risus vivamus nisi dictumst eu."	"prot_34"	""	""	""	5254400	0	4837500	5463000	5756700	0	0	0	6503600	0	0	7461300	0	0	0	0	0	0	0	5118300
"prot_35"	"Amet tristique potenti taciti commodo interdum leo ultricies augue in pretium cum dapibus class velit aptent?"	"prot_35"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	2772800	0	0	0	0	0	0	0	0
"prot_36"	"Elit cubilia bibendum tortor nullam penatibus odio eleifend phasellus vehicula justo bibendum."	"prot_36"	""	""	""	6128600	0	10305000	0	9977600	6020700	4957400	7073300	4870700	6209100	0	10527000	9582700	4544200	0	7149000	7892500	9289700	8503700	4444700
"prot_37"	"Dolor cras sollicitudin lobortis eget interdum est etiam lectus mus viverra."	"prot_37"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_38"	"Amet risus nullam praesent nunc suspendisse tristique varius dignissim litora habitant justo?"	"prot_38"	""	""	""	156180000	186040000	213120000	382830000	221620000	219750000	194210000	508350000	180050000	313070000	504820000	351920000	204120000	189820000	266110000	238560000	417580000	172030000	229660000	351860000
"prot_39"	"Elit duis viverra maecenas semper aliquam mauris morbi et mauris."	"prot_39"	""	""	""	0	0	0	0	0	0	0	0	11247000	0	0	0	0	0	0	0	0	0	0	0
"prot_40"	"Dolor aenean sed neque natoque ad donec arcu auctor primis vulputate accumsan curabitur est ante senectus quis."	"prot_40"	""	""	""	45717000	13036000	45854000	28446000	41440000	28200000	27718000	42725000	29968000	32360000	30137000	39690000	45254000	24404000	22900000	29406000	31643000	45686000	29646000	24956000
"prot_41"	"Lorem phasellus euismod facilisis sociis tempor diam inceptos mollis et auctor feugiat!"	"prot_41"	""	""	""	4494700	0	0	5549700	5075100	0	7340900	4357500	0	0	0	0	6865200	0	6426800	0	4891600	2948200	0	0
"prot_42"	"Amet fames aliquet rutrum dui ridiculus euismod inceptos vehicula suscipit lectus."	"prot_42"	""	""	""	0	179530000	0	20064000	66576000	0	0	0	0	0	47193000	0	6526400	0	0	123960000	0	61971000	0	0
"prot_43"	"Ipsum posuere etiam sed interdum ultrices per sociosqu nunc suscipit."	"prot_43"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_44"	"Adipiscing fames ut nunc condimentum velit iaculis eget."	"prot_44"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_45"	"Consectetur netus vel habitant ultrices metus condimentum donec."	"prot_45"	""	""	""	8333300	0	9300200	4820600	7989700	10741000	5831800	7798200	8643500	0	0	13197000	9777700	10107000	8823200	6632800	12525000	12779000	8711500	0
"prot_46"	"Amet lacinia convallis consequat volutpat parturient velit sed dapibus at consequat mauris!"	"prot_46"	""	""	""	3533300	0	0	0	0	9311200	2957200	7647400	4481400	23238000	7999700	3979400	3944200	0	2900400	0	4243100	2660200	10778000	5525500
"prot_47"	"Consectetur vitae at congue at hendrerit nec suscipit sagittis tempus ac quisque fermentum eu."	"prot_47"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1621900	0	0	0	0
"prot_48"	"Amet velit quis orci morbi nostra orci risus maecenas tincidunt blandit habitant commodo."	"prot_48"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_49"	"Lorem congue fames at sem mattis maecenas sagittis dignissim."	"prot_49"	""	""	""	38334000	0	33665000	23153000	43191000	26679000	36930000	36445000	41977000	24382000	30699000	47051000	39509000	25141000	21245000	29218000	37453000	32251000	25968000	26709000
"prot_50"	"Lorem rutrum condimentum taciti netus mauris interdum nibh sapien!"	"prot_50"	""	""	""	0	0	0	0	0	16605000	0	0	13089000	0	0	0	0	0	0	0	0	0	0	0
"prot_51"	"Ipsum conubia hac ultrices cursus urna tempor proin metus conubia."	"prot_51"	""	""	""	0	3774000	0	0	0	6766400	0	0	0	5925600	0	0	0	0	0	5429100	0	5924700	0	5537400
"prot_52"	"Adipiscing ultricies montes auctor scelerisque facilisi dignissim taciti aptent."	"prot_52"	""	""	""	0	0	0	0	3964300	7531700	6292700	0	0	0	0	3952000	8289500	0	0	0	8211400	0	7556600	14624000
"prot_53"	"Elit habitant mi natoque pharetra suspendisse parturient ut vestibulum sociosqu semper vehicula mus!"	"prot_53"	""	""	""	106390000	71379000	102810000	81063000	87295000	117500000	68954000	128260000	85124000	87817000	96658000	97335000	75135000	99015000	69563000	160900000	116520000	89095000	160590000	93234000
"prot_54"	"Amet ultricies dis torquent leo felis imperdiet mauris faucibus vel."	"prot_54"	""	""	""	14096000	72091000	12668000	27382000	26766000	6830600	37659000	0	48190000	14163000	11349000	34408000	40124000	6157500	74869000	13064000	31377000	12955000	8238100	7696000
"prot_55"	"Dolor interdum nunc senectus nascetur commodo at bibendum nisi ullamcorper ultrices rutrum potenti egestas auctor."	"prot_55"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	8607200	0	0	0	0	0	0	0
"prot_56"	"Dolor vestibulum pharetra at justo lobortis ad lectus etiam bibendum facilisis tempus!"	"prot_56"	""	""	""	20310000	5145000	2278600	0	5910100	1981400	3365200	0	0	2889000	1245300	2381800	12665000	0	29547000	5083200	2229100	0	4439100	1296100
"prot_57"	"Consectetur congue conubia euismod aliquam inceptos semper nostra libero pretium inceptos placerat!"	"prot_57"	""	""	""	19930000	154140000	129700000	0	211560000	9062700	208570000	7026000	11408000	21535000	161220000	38996000	19381000	36040000	55955000	2499100	5962900	68714000	8372300	22768000
"prot_58"	"Dolor in in mus molestie integer enim consequat laoreet eleifend sollicitudin fusce maecenas."	"prot_58"	""	""	""	0	0	3737200	0	5440400	0	0	3363000	0	0	0	0	0	0	0	0	0	0	0	0
"prot_59"	"Adipiscing imperdiet eu consequat metus quam ad lobortis dui senectus vehicula gravida inceptos risus."	"prot_59"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_60"	"Ipsum lacinia euismod varius luctus senectus leo nulla volutpat mollis."	"prot_60"	"+"	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_61"	"Amet sem mi suscipit ridiculus iaculis aenean aptent dictum imperdiet velit dictumst."	"prot_61"	""	""	""	117670000	145500000	107960000	138480000	75173000	1.04e+08	104150000	146600000	136870000	59038000	74452000	147210000	153750000	105870000	89969000	88277000	149020000	149900000	126900000	99454000
"prot_62"	"Dolor suspendisse pellentesque cum egestas diam varius quam penatibus integer tempor eget mus."	"prot_62"	""	""	""	0	0	0	0	0	11714000	0	0	0	0	0	0	0	0	0	0	15298000	0	0	0
"prot_63"	"Dolor sollicitudin nam pellentesque justo commodo posuere montes libero taciti rhoncus ullamcorper cubilia massa platea et."	"prot_63"	""	""	""	115650000	36462000	112580000	140170000	86194000	193020000	101830000	89038000	105420000	211390000	142190000	83236000	117720000	97295000	87194000	1.7e+08	138580000	121760000	90266000	201860000
"prot_64"	"Ipsum malesuada nascetur quis porta leo morbi tempor consequat torquent risus euismod."	"prot_64"	""	""	""	42946000	60685000	99559000	47739000	66681000	145410000	49817000	63873000	70409000	107390000	52860000	122100000	112880000	90953000	74255000	76620000	42872000	172910000	109650000	88060000
"prot_65"	"Lorem nascetur ornare hac bibendum mattis duis."	"prot_65"	""	""	""	114190000	14353000	22869000	11846000	6858400	0	7630000	158220000	14278000	0	11510000	13932000	8085900	52507000	0	3900900	18050000	0	5552200	0
"prot_66"	"Consectetur suscipit vitae at condimentum pretium sapien purus viverra luctus orci euismod."	"prot_66"	""	""	""	15675000	0	14712000	22484000	22749000	0	20664000	0	17180000	0	0	0	0	22831000	33172000	8509500	11288000	8883100	0	22548000
"prot_67"	"Amet torquent duis nunc venenatis venenatis et?"	"prot_67"	""	""	""	109390000	114470000	45915000	38260000	60633000	79990000	62082000	64565000	45041000	60550000	66284000	61232000	92463000	60834000	71717000	61826000	59930000	52909000	112650000	97197000
"prot_68"	"Adipiscing ultrices arcu inceptos aenean porta parturient pulvinar tempus."	"prot_68"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_69"	"Consectetur lobortis natoque venenatis scelerisque montes dictum facilisis posuere commodo pellentesque lacinia!"	"prot_69"	""	""	""	49409000	62393000	63199000	58397000	74496000	103490000	66479000	81791000	62323000	122780000	70059000	71911000	71876000	63027000	67811000	98661000	97330000	66765000	76718000	111980000
"prot_70"	"Amet volutpat dictumst netus nisi posuere proin sociis interdum mi interdum dui."	"prot_70"	""	""	""	73476000	51795000	120130000	48120000	84756000	116540000	72292000	89327000	68974000	83251000	83353000	127540000	84057000	73583000	68370000	83819000	102190000	93449000	114500000	74820000
"prot_71"	"Amet enim laoreet tincidunt dignissim porttitor non dictumst massa."	"prot_71"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_72"	"Dolor mus eleifend ligula bibendum non eu mauris accumsan pharetra cras laoreet habitasse?"	"prot_72"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_73"	"Adipiscing mi euismod mauris cursus tincidunt pharetra eros facilisis?"	"prot_73"	"+"	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_74"	"Ipsum et facilisis habitant hac per fermentum?"	"prot_74"	""	""	""	196410000	178950000	220360000	432910000	229340000	203510000	217270000	285290000	241960000	222720000	230630000	270420000	167560000	362010000	319170000	165300000	211660000	172960000	161480000	356340000
"prot_75"	"Amet auctor pellentesque eros sodales nec habitasse porttitor vitae id ut congue."	"prot_75"	""	""	""	0	0	0	0	0	14378000	0	0	0	0	0	0	0	0	0	0	0	0	0	8807300
"prot_76"	"Elit semper nulla netus feugiat curabitur vivamus egestas arcu!"	"prot_76"	""	""	""	8619700	3564800	8758700	3840200	8985300	4125300	6989800	9241200	7020400	0	4707000	7271800	3136100	0	0	5818800	3751400	19237000	0	4159500
"prot_77"	"Lorem torquent felis magnis id sociosqu sociosqu penatibus leo."	"prot_77"	""	""	""	0	0	6197100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_78"	"Sit curabitur volutpat duis dictumst porttitor est eleifend nam dui facilisi in eleifend."	"prot_78"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_79"	"Consectetur platea urna et tincidunt morbi auctor at diam sagittis."	"prot_79"	""	""	""	0	0	0	24675000	0	0	0	0	0	0	0	0	0	0	0	72962000	31901000	0	0	35923000
"prot_80"	"Amet lacus felis quam integer netus velit molestie posuere placerat eu?"	"prot_80"	""	""	""	107130000	765120000	288430000	1211600000	547160000	33578000	227250000	20664000	462370000	158280000	215090000	32115000	127990000	143350000	98204000	107840000	27796000	66332000	46095000	243950000
"prot_81"	"Ipsum taciti luctus mattis justo habitant class posuere etiam."	"prot_81"	""	""	""	11315000	0	0	5283900	0	0	0	0	0	24959000	0	0	0	88384000	0	16956000	0	1497600000	5307800	5467000
"prot_82"	"Adipiscing tellus inceptos cras imperdiet integer sociosqu at sapien justo interdum."	"prot_82"	""	""	""	0	0	0	21511000	14881000	24476000	0	0	0	37408000	0	0	0	0	0	0	0	18574000	16906000	36584000
"prot_83"	"Ipsum augue magna sapien nibh lacinia urna dis ornare lectus sed lacus class nascetur."	"prot_83"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	3904900	0	0	0	0	0	0	0
"prot_84"	"Sit dignissim nam mattis sociis placerat class ad vehicula nascetur molestie."	"prot_84"	""	""	""	27413000	23919000	25612000	37464000	38806000	29114000	19607000	53326000	32001000	10229000	23114000	24484000	19037000	27176000	27126000	14569000	23833000	22148000	26179000	36365000
"prot_85"	"Ipsum sociosqu interdum sociis fringilla vulputate porta cras ornare sagittis."	"prot_85"	""	""	""	0	6188200	4858200	9896200	6903900	8791700	6371900	11523000	6299500	9712500	0	9709400	0	0	9188400	7796100	6411300	6374400	21927000	6264300
"prot_86"	"Sit commodo convallis malesuada cum habitant ultricies porta netus venenatis blandit sem."	"prot_86"	""	""	""	1683400	0	1568700	2319900	1131600	0	2113400	1577600	2048600	0	0	2104700	1632500	4798800	1492400	0	1424200	2131800	0	0
"prot_87"	"Dolor lobortis pulvinar facilisis neque mattis."	"prot_87"	"+"	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_88"	"Sit massa at eu cum rutrum cursus quisque."	"prot_88"	""	""	""	17084000	16369000	34016000	41763000	7811800	22261000	27110000	24501000	26424000	24270000	15079000	24711000	29069000	44668000	13834000	23961000	46007000	44477000	58179000	53351000
"prot_89"	"Dolor fermentum molestie nullam eu pulvinar leo netus maecenas dictum."	"prot_89"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	333940	0	0	0	0	0	0	0
"prot_90"	"Elit tempus tellus justo molestie feugiat eleifend hendrerit nulla justo."	"prot_90"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_91"	"Elit nisi molestie eleifend pulvinar nunc sociis laoreet pulvinar primis sociosqu?"	"prot_91"	""	""	""	46682000	0	115980000	64929000	36016000	0	39333000	120490000	38722000	0	139190000	193930000	45521000	0	107190000	0	0	0	63486000	54137000
"prot_92"	"Amet aenean porta aliquam parturient curae sapien nascetur sed pulvinar litora sem habitasse porttitor."	"prot_92"	""	""	""	442750000	2668100000	446430000	287830000	400070000	357490000	394150000	439450000	571310000	66427000	259500000	303920000	48019000	296110000	285690000	63345000	387330000	240740000	104040000	196500000
"prot_93"	"Lorem erat vel gravida diam semper risus fringilla himenaeos volutpat mi odio eros per fusce?"	"prot_93"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_94"	"Lorem hac quisque nisi convallis metus varius dui blandit tempus justo."	"prot_94"	""	""	""	0	0	0	0	0	42924000	0	0	0	48198000	0	0	0	0	0	23036000	0	0	22276000	0
"prot_95"	"Adipiscing sed justo accumsan himenaeos venenatis congue."	"prot_95"	""	""	""	179220000	155060000	188980000	604790000	351490000	683450000	260150000	161230000	446010000	433320000	233610000	497860000	294190000	304380000	359440000	458730000	309400000	248460000	248930000	365360000
"prot_96"	"Dolor tempor torquent eget sollicitudin per ad arcu donec pellentesque."	"prot_96"	"+"	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_97"	"Consectetur egestas potenti pulvinar et dui arcu duis vitae natoque rhoncus at."	"prot_97"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_98"	"Sit turpis sagittis massa eleifend vel porttitor aliquam aenean torquent neque vulputate."	"prot_98"	""	""	""	115960000	111270000	153710000	115740000	1.46e+08	148080000	117940000	149820000	137520000	137760000	144550000	156500000	130460000	140730000	132740000	130680000	129700000	136190000	132420000	152770000
"prot_99"	"Lorem natoque nullam pharetra sem habitasse blandit ultricies."	"prot_99"	""	""	""	11807000	11648000	6936800	7247600	0	9621200	6964400	29659000	10764000	0	13570000	10173000	8319600	8252600	0	7660100	0	28112000	0	7893900
"prot_100"	"Lorem ridiculus nisl quam penatibus blandit lobortis ultrices tempus augue ridiculus."	"prot_100"	""	""	""	0	0	12263000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_101"	"Dolor pharetra curabitur sapien est semper rutrum aenean volutpat aliquam sollicitudin lobortis curabitur neque!"	"prot_101"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_102"	"Consectetur erat cubilia iaculis ultricies hac lacus tincidunt fames suspendisse blandit vehicula fermentum?"	"prot_102"	""	""	""	33913000	25513000	13188000	5334400	17384000	11636000	12251000	4759900	12595000	11688000	5834700	13980000	24930000	0	32357000	10364000	5471300	14296000	6791800	14349000
"prot_103"	"Lorem consequat lacinia tincidunt accumsan pellentesque est habitasse habitant."	"prot_103"	""	""	""	26341000	31028000	21681000	25562000	20021000	26668000	20405000	33011000	28624000	39623000	29575000	22223000	20397000	0	20986000	15895000	29581000	25437000	29325000	33161000
"prot_104"	"Ipsum aenean auctor quis mattis hac in posuere."	"prot_104"	""	""	""	13895000	25455000	0	23728000	21916000	22062000	24153000	24447000	21073000	25284000	0	24387000	0	31729000	31785000	0	26086000	22030000	26721000	27604000
"prot_105"	"Adipiscing sagittis eget dapibus aenean velit curabitur cursus etiam integer integer phasellus ad convallis."	"prot_105"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_106"	"Dolor potenti lacus neque netus molestie iaculis ultricies eleifend ac viverra congue metus dignissim massa."	"prot_106"	""	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_107"	"Elit gravida himenaeos augue lacinia commodo ornare morbi ante ut auctor magna aenean."	"prot_107"	""	""	""	14266000	0	9622900	0	20817000	0	32309000	0	27609000	0	0	18005000	0	0	37177000	0	23996000	0	0	9452000
"prot_108"	"Sit ultricies quis nulla duis tempor habitant odio dictum pharetra."	"prot_108"	""	""	""	0	53373000	8629900	0	0	3948400	0	0	3303300	10852000	0	0	0	0	5320700	0	8404900	0	0	8320400
"prot_109"	"Lorem nisl non taciti neque hendrerit mus tempus cursus?"	"prot_109"	""	""	""	145240000	789020000	138930000	72804000	204720000	147070000	111890000	45886000	168820000	174630000	63611000	89156000	132410000	204660000	368190000	148760000	148830000	163440000	29298000	117090000
"prot_110"	"Amet bibendum mollis aptent libero eu inceptos metus libero interdum gravida himenaeos!"	"prot_110"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	6157800	0	0	0	0	0	0	0
"prot_111"	"Adipiscing per vivamus sodales penatibus vestibulum odio ridiculus!"	"prot_111"	""	""	""	0	8678800	0	5403200	0	16592000	8494400	6267200	0	0	0	12375000	0	0	0	6939400	31826000	6698700	0	19410000
"prot_112"	"Sit lobortis orci habitasse dignissim habitasse suspendisse lobortis cursus netus?"	"prot_112"	""	""	""	403660000	349220000	6.59e+08	334120000	570180000	534850000	438250000	561200000	559440000	725100000	523950000	542740000	462380000	377030000	397070000	640100000	477550000	544530000	508700000	461960000
"prot_113"	"Amet ac rhoncus luctus elementum a at parturient bibendum ante ante hendrerit ridiculus lacinia varius."	"prot_113"	""	""	""	87422000	38537000	51952000	89508000	56655000	121300000	79079000	121030000	97742000	72590000	57529000	101630000	94531000	95613000	62357000	104180000	116620000	124910000	86958000	117890000
"prot_114"	"Amet duis feugiat potenti fames lacinia primis purus dis natoque a porttitor vel."	"prot_114"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	3613100	0	0	0	0	0	0	0	0
